date,state,total_cases,total_deaths
7/4/2020,WP PUTRAJAYA,43,0
7/4/2020,WP LABUAN,13,0
8/4/2020,PERLIS,17,1
8/4/2020,KEDAH,91,1
8/4/2020,PULAU PINANG,108,1
8/4/2020,PERAK,237,4
8/4/2020,SELANGOR,1078,4
8/4/2020,NEGERI SEMBILAN,270,5
8/4/2020,MELAKA,116,1
8/4/2020,JOHOR,496,14
8/4/2020,PAHANG,169,1
8/4/2020,TERENGGANU,93,1
8/4/2020,KELANTAN,147,3
8/4/2020,SABAH,248,2
8/4/2020,SARAWAK,306,12
8/4/2020,WP KUALA LUMPUR,685,14
8/4/2020,WP PUTRAJAYA,45,0
8/4/2020,WP LABUAN,13,0
9/4/2020,PERLIS,17,1
9/4/2020,KEDAH,93,1
9/4/2020,PULAU PINANG,108,1
9/4/2020,PERAK,241,4
9/4/2020,SELANGOR,1118,4
9/4/2020,NEGERI SEMBILAN,281,5
9/4/2020,MELAKA,119,2
9/4/2020,JOHOR,503,14
9/4/2020,PAHANG,183,1
9/4/2020,TERENGGANU,98,1
9/4/2020,KELANTAN,148,3
9/4/2020,SABAH,248,2
9/4/2020,SARAWAK,312,13
9/4/2020,WP KUALA LUMPUR,699,14
9/4/2020,WP PUTRAJAYA,47,0
9/4/2020,WP LABUAN,13,0
10/4/2020,PERLIS,17,1
10/4/2020,KEDAH,93,1
10/4/2020,PULAU PINANG,109,1
10/4/2020,PERAK,242,4
10/4/2020,SELANGOR,1148,4
10/4/2020,NEGERI SEMBILAN,292,5
10/4/2020,MELAKA,133,2
10/4/2020,JOHOR,523,14
10/4/2020,PAHANG,187,1
10/4/2020,TERENGGANU,101,1
10/4/2020,KELANTAN,149,3
10/4/2020,SABAH,250,3
10/4/2020,SARAWAK,327,13
10/4/2020,WP KUALA LUMPUR,713,16
10/4/2020,WP PUTRAJAYA,49,0
10/4/2020,WP LABUAN,13,0
11/4/2020,PERLIS,17,1
11/4/2020,KEDAH,93,1
11/4/2020,PULAU PINANG,114,1
11/4/2020,PERAK,243,5
11/4/2020,SELANGOR,1183,5
11/4/2020,NEGERI SEMBILAN,309,6
11/4/2020,MELAKA,141,2
11/4/2020,JOHOR,544,14
11/4/2020,PAHANG,214,1
11/4/2020,TERENGGANU,102,1
11/4/2020,KELANTAN,151,3
11/4/2020,SABAH,260,3
11/4/2020,SARAWAK,334,13
11/4/2020,WP KUALA LUMPUR,759,16
11/4/2020,WP PUTRAJAYA,51,0
11/4/2020,WP LABUAN,15,0
12/4/2020,PERLIS,17,1
12/4/2020,KEDAH,93,1
12/4/2020,PULAU PINANG,116,1
12/4/2020,PERAK,244,6
12/4/2020,SELANGOR,1236,5
12/4/2020,NEGERI SEMBILAN,318,7
12/4/2020,MELAKA,144,2
12/4/2020,JOHOR,558,14
12/4/2020,PAHANG,225,1
12/4/2020,TERENGGANU,102,1
12/4/2020,KELANTAN,152,3
12/4/2020,SABAH,266,3
12/4/2020,SARAWAK,342,14
